;0
10612723.59155394;12
754406.3346278552;5
1157704.9435388288;3
21425310.68397571;9
691912.7658232056;0
49365.65065291831;11
152755.01551586107;13
251362.21308768785;7
0.0;12
7655426.08495252;3
744853.495610793;3
1052304.3611056528;5
107911.63625296859;12
47442.56527213897;11
330123.4792249278;5
236501.86433889085;11
377861.42530467384;12
617868.2882448562;11
2493521.7188414005;4
431026.950605326;0
973417.3414293118;11
6273000.649429042;0
158661.4153734364;11
52661.00998660237;11
100890.37248542646;11
46370.16877470969;6
631287.5767883544;6
219625.4140398558;4
846650.4133106688;11
545638.6132611213;11
261620.6806387699;12
156697.0124392629;12
485589.8011650082;14
231478.26114068285;6
8730944.864925735;3
121717688.76236628;2
336406.0759474157;13
3778252.168200417;4
123697.57681907431;13
276630.9354738011;6
19810.954671124542;4
276726.8716437633;13
0.0;12
276630.9354738011;6
8317859.558245236;9
0.0;12
1235400.0282630802;3
276630.9354738011;6
276630.9354738011;6
73658.73829212546;7
351280.3166082068;11
7545329.941207077;9
2944605.256412271;9
16822693.20402463;3
31797.205993066276;13
2000037.2722661218;4
329432.7630700934;13
418675.2785197411;7
708176.6645299076;4
0.0;12
181668.18433202922;7
76274.66391517202;13
503620.3620181837;14
250052.00720394053;13
317910.0549020158;11
100898.3845732687;13
27022.320835114584;13
40605.00048297422;13
67437.30263814573;13
259115.0744611028;14
127050.32356640542;13
95418.77901053466;14
342118.1854248986;13
52839.77862379505;13
387316.80865280563;13
47248.124409715034;14
205223.69984516516;13
128012.03060621009;13
89598.45369765064;13
690422.2874875554;6
263168.5450937411;13
51600.94060543043;13
36590.31061136836;14
83379.83816418423;14
277242.18583930575;13
117257.40679214732;13
3598489.258554996;0
39602.42275801761;14
33797.77594766928;13
115043.27711672669;6
39298.60048585062;14
321572.64625197597;14
146339.07106408363;13
80531.40838942293;12
534183.070887858;13
659841.3195828424;5
47712.93464549999;11
34637.04960003624;13
221331.93944917698;13
60224.64996060428;14
82095.33651912068;11
144078.11102863733;11
275104.83664525853;14
458046.69092175213;13
36895.14522433485;14
436507.100012688;13
59344.038653462485;11
271665.8317768658;13
520834.63674915826;14
97592.38821764744;14
286127.97112927935;11
370275.45456926257;6
642193.3261960859;7
0.0;12
192373.1968055598;7
219883.57405609704;13
133785.78655419344;7
69469.92784010417;14
702129.1511739267;12
208706.23300726645;5
111778.55023250327;7
339143.65024103643;6
898994.360860932;6
325447.81772968854;14
558400.051145006;7
27283.596972727595;13
900526.8346777229;12
138135.76051398655;7
244305.57278925172;13
636196.6164057197;4
251857.82363520804;14
284091.5724280371;13
185018.1062451421;14
380721.5096069766;0
90748.15160985546;6
218506.59718532412;11
39957.36685788506;4
119013.65976307017;5
193095.83576873707;14
54583.34881152704;13
51416.40326514776;14
363903.90827839036;5
943552.7273065591;6
1949578.023685265;4
137136.87233742396;4
86273.54824885892;14
1247707.8816308794;12
16873.699369937734;7
105136.1761936814;5
65480.960885171175;6
339940.29712754354;13
24200.76540938677;14
163861.29570185888;14
60300.40512562296;7
820404.0663557387;5
102079.84160643381;11
82285.53903900937;6
1017664.3692671568;12
206982.5626600701;14
112917.87561328102;11
517907.1537301358;0
843803.5051419815;11
274105.2432597954;14
85137.02870797405;14
0.0;12
101831.9977048429;14
492952.0907861266;14
356616.6646064304;14
11442.993636629675;13
275900.82194720965;7
436045.8798109369;11
0.0;12
826233.5030690611;11
205382.80422633584;13
0.0;12
1136929.105689527;4
82277.80781394514;7
10218.930051922796;13
238651.4563811179;5
77999.77479802842;7
14791.250716316015;7
1208030.1858737736;11
85723.73296784714;6
21174.83804217656;13
534786.0093151302;12
43804.49096929842;11
149187.75103115634;13
24436.599602877453;14
1011358.0802118372;11
140216.72683505362;14
545922.5403012452;5
267936.4853945793;14
644770.9828478534;11
149665.36907722952;7
116315.74236462728;13
97916691.48477988;9
0.0;12
77446.4341799298;11
134354.58657298743;7
217737.95418554367;11
147590.90862756377;7
20464.941146639612;6
10139.529845475836;14
768506.9879935799;5
405875.30091083405;5
13913.008412815228;7
557731.9176213647;7
71628.251962735;13
238301.26516623612;12
32450.857926960936;13
514196.089206265;7
256816.49264890864;12
421175.1349337412;4
161971.10268787382;13
28601.06911580484;5
193500.10903659335;5
633365.5605672243;14
310064.2998351999;11
1940466.955069424;4
739144.8541799932;5
449880.2064247727;11
440858.5353835405;14
6491708.656441039;3
556864.1633573323;6
41064.716198695154;5
231835.60652640587;5
529782.2690957356;13
817906.9633346223;5
585005.769500571;11
7414.499825389795;5
522551.27041579905;5
695526.3918222866;5
41938.804010947424;7
606107.5065295177;5
188307.0356309466;13
194840.4489763766;7
1259109.8650971132;0
131421261.00281009;8
709835.5664667047;12
873511.1246994432;12
287409.6246743734;11
20816.81902919514;5
24437.53651038243;12
179680.64356676128;7
